milestone,n,metric,value
p1-sequential-Alg2,100000,build_seconds,1.227
p1-sequential-Alg2,100000,rss_bytes,584679424
p1-sequential-Alg2,100000,lists_per_point,41.0
p1-sequential-Alg2,200000,build_seconds,3.206
p1-sequential-Alg2,200000,rss_bytes,1238368256
p1-sequential-Alg2,200000,lists_per_point,43.8
p1-sequential-Alg2,500000,build_seconds,9.981
p1-sequential-Alg2,500000,rss_bytes,3177889792
p1-sequential-Alg2,500000,lists_per_point,47.5
p1-sequential-Alg2,1000000,build_seconds,20.886
p1-sequential-Alg2,1000000,rss_bytes,6048137216
p1-sequential-Alg2,1000000,lists_per_point,50.2
p1-sequential-Alg2,1000000,nearest_per_second,1420000
p1-sequential-Alg2,1000000,knn10_per_second,200000
p2-parallel-Alg6,100000,build_seconds,0.092
p2-parallel-Alg6,100000,rss_bytes,584613888
p2-parallel-Alg6,100000,lists_per_point,41.0
p2-parallel-Alg6,200000,build_seconds,0.184
p2-parallel-Alg6,200000,rss_bytes,1234157568
p2-parallel-Alg6,200000,lists_per_point,43.8
p2-parallel-Alg6,500000,build_seconds,0.590
p2-parallel-Alg6,500000,rss_bytes,3194109952
p2-parallel-Alg6,500000,lists_per_point,47.5
p2-parallel-Alg6,1000000,build_seconds,1.925
p2-parallel-Alg6,1000000,rss_bytes,5970001920
p2-parallel-Alg6,1000000,lists_per_point,50.2
p2-parallel-Alg6,1000000,nearest_per_second,1440000
p2-parallel-Alg6,1000000,knn10_per_second,220000
p4-advance-pointers,100000,build_seconds,0.129
p4-advance-pointers,100000,rss_bytes,718766080
p4-advance-pointers,100000,lists_per_point,41.0
p4-advance-pointers,200000,build_seconds,0.328
p4-advance-pointers,200000,rss_bytes,1516060672
p4-advance-pointers,200000,lists_per_point,43.8
p4-advance-pointers,500000,build_seconds,0.904
p4-advance-pointers,500000,rss_bytes,3911745536
p4-advance-pointers,500000,lists_per_point,47.5
p4-advance-pointers,1000000,build_seconds,2.425
p4-advance-pointers,1000000,rss_bytes,7254818816
p4-advance-pointers,1000000,lists_per_point,50.2
p4-advance-pointers,1000000,nearest_per_second,1650000
p4-advance-pointers,1000000,knn10_per_second,220000
p4b-review-fixes,100000,build_seconds,0.125
p4b-review-fixes,100000,rss_bytes,719192064
p4b-review-fixes,100000,lists_per_point,41.0
p4b-review-fixes,200000,build_seconds,0.289
p4b-review-fixes,200000,rss_bytes,1506836480
p4b-review-fixes,200000,lists_per_point,43.8
p4b-review-fixes,500000,build_seconds,0.817
p4b-review-fixes,500000,rss_bytes,3934240768
p4b-review-fixes,500000,lists_per_point,47.5
p4b-review-fixes,1000000,build_seconds,2.642
p4b-review-fixes,1000000,rss_bytes,7550697472
p4b-review-fixes,1000000,lists_per_point,50.2
p4b-review-fixes,1000000,nearest_per_second,1740000
p4b-review-fixes,1000000,knn10_per_second,220000
p5-reserved-arrays,100000,build_seconds,0.124
p5-reserved-arrays,100000,rss_bytes,458326016
p5-reserved-arrays,100000,lists_per_point,41.0
p5-reserved-arrays,200000,build_seconds,0.256
p5-reserved-arrays,200000,rss_bytes,888373248
p5-reserved-arrays,200000,lists_per_point,43.8
p5-reserved-arrays,500000,build_seconds,0.756
p5-reserved-arrays,500000,rss_bytes,2251407360
p5-reserved-arrays,500000,lists_per_point,47.5
p5-reserved-arrays,1000000,build_seconds,1.716
p5-reserved-arrays,1000000,rss_bytes,4779327488
p5-reserved-arrays,1000000,lists_per_point,50.2
p5-reserved-arrays,1000000,nearest_per_second,1690000
p5-reserved-arrays,1000000,knn10_per_second,270000
current-adv0,1,build_seconds_by_workers,11.447
current-adv1,1,build_seconds_by_workers,14.881
current-adv0,2,build_seconds_by_workers,6.383
current-adv1,2,build_seconds_by_workers,8.065
current-adv0,4,build_seconds_by_workers,3.343
current-adv1,4,build_seconds_by_workers,4.411
current-adv0,8,build_seconds_by_workers,2.005
current-adv1,8,build_seconds_by_workers,2.567
current-adv0,14,build_seconds_by_workers,1.342
current-adv1,14,build_seconds_by_workers,1.900
current-adv0,1000000,nearest_per_second,1470000
current-adv0,1000000,knn10_per_second,230000
current-adv1,1000000,nearest_per_second,1740000
current-adv1,1000000,knn10_per_second,250000
